id,source,title,company,region,category,date
1,jobkorea,웹 기획자 모집 (커머스 경력자 우대),살랑코드테크,,,~06/12
2,jobkorea,마케터 (브랜드 전략 및 콘텐츠 기획),(주)시안런솔루션,서울 서초구,경력무관,~06/17
3,worknet,대형저축은행 IT개발팀원 (금융권 여신업무 JAVA 개발자),맑은핀,서울,,2026-05-12
4,wanted,TPM (Technical Program Manager),푸른런웍스,서울 강남구,,
5,worknet,왜관-헤드램프 단순조립/피더 주간전담 연차.퇴직금 난방시설완비 통근운행,주식회사 푸른벨테크,경북 칠곡군,,2026-04-28
6,worknet,[트인셋소프트] 뷰티 디바이스 개발 PM 경력사원 모집,,서울 금천구,,2026-05-07
7,jobkorea,IP 프로젝트 매니저 - 유니버스존,㈜누리노드웍스,서울 마포구,경력무관,~06/23
8,wanted,"[여울셀컴퍼니] 브랜드마케터 (3년~7년, 프로모션 전담)",온새포트랩스,서울 강남구,,
9,worknet,[일자리매칭플랫폼] [새암폼2공장] 생산 및 품질 검사 관리원 모집,(주)새암폼,경북,,2026-06-02
10,worknet,PM 프로젝트 매니저  (5~10년차),여울루프테크,서울 성동구,,2026-04-02
11,jobkorea,오피스텔 / 아파트 분양상담사,시안포트테크,인천 미추홀구,경력무관,~06/02
12,jobkorea,디지털 마케팅 기획 파트 채용 [ SNS 채널 운영/콘텐츠 기획 ],㈜슬기런솔루션,서울 서초구,경력무관,~06/28
13,worknet,모아밴드네트웍스 대전영업소 검체수거 및 영업관리 채용,모아밴드네트웍스,대전 동구,,2026-05-24
14,worknet,대형저축은행 IT개발팀원 (금융권 여신업무 JAVA 개발자),맑은핀 ,서울,,2026-05-15
15,wanted,CX/CS 매니저,달빛런파트너스,경기 하남시,,
16,wanted,[라온노드소프트] 이공계 교육 콘텐츠 기획자,고운링크시스템즈,서울 강남구,,
17,jobkorea,핵심 인재 통합 채용 연구소장 · 사업기획 PM · 프로젝트 PM,㈜결릭스,경기 부천시,경력10년+,
18,wanted,CRM 마케터,푸른스택웍스,서울 강남구,,
19,worknet,[트인벨소프트] 주택임대관리 PM담당자 채용,새암웨이컴퍼니,경기 화성시,경력무관,2026-06-14
20,jobkorea,[바로코드] PM 기획 담당자 채용,㈜시안릭스랩스,서울 강서구,경력5년+,~06/10
21,wanted,비상주닷컴 그로스 마케터,아람박스디지털,서울 강남구,,
22,worknet,에너지관리회사  사업기획,(주)틔움링크소프트,서울 강남구,,2026-05-25
23,worknet,[일자리매칭플랫폼] 부품 조립원 모집공고,주식회사 맑은폼랩스,인천 남동구,,2026-05-29
24,wanted,[Robot Business] 해외 신사업 기획 및 사업 개발 시니어,결박스솔루션 ,서울 성동구,,
25,jobkorea,[살랑폼] 평택 사업장 제품포장 담당 모집,㈜살랑폼,경기 평택시,신입,
26,jobkorea,노들밴드(주)에서 함께할 인재를 모집합니다.,노들밴드,인천 부평구,경력2년+,~06/04
27,worknet,[일자리매칭플랫폼] 식품향료 생산부 채용,단비노드앤코 ,경기 성남시,,2026-05-21
28,wanted,[Robot Business] 해외 신사업 기획 및 사업 개발 시니어,,서울 성동구,,
29,worknet,[마루빔웍스] 프로듀싱팀 SNS 마케터 채용 (콘텐츠 기획/브랜딩경험 우대),주식회사 한결웨이,서울 강남구,,2026-06-05
30,wanted,"프로덕트 매니저 (Product Manager, 카드 PA)",벼리셀소프트,서울 마포구,,
31,jobkorea,[푸른런파트너스] 공공기관 대국민 서비스 운영 기획자 모집(프리),㈜다온박스테크,충북 청주시,경력무관,~06/24
32,jobkorea,미르셀앤코 웹디자이너 경력직,㈜미르셀앤코,,경력1년+,상시
33,jobkorea,"한시큐리티(주) 부문별 채용(신입, 경력, 프리랜서)",,경기 과천시,신입,~06/10
34,wanted,보증사업팀 시니어 사업기획자 (8년 이상),단비스택,서울 중구,,
35,jobkorea,일산 야마하 서비스점에서 오토바이 정비사를 모집합니다.,너울링크소프트,경기 고양시,경력무관,상시
36,wanted,[다온폼솔루션] IT 구매 및 총무 담당자,너울밴드소프트,경기 성남시,,
37,jobkorea,검수 포장 생산직(기숙사 가능) 직원 모집(장기근로 가능자),㈜새암박스,경기 화성시,경력무관,
38,worknet,[일자리매칭플랫폼] 소재 수입검사원 (신입가능),(주)곧은핀솔루션,경북 구미시,,2026-05-22
39,worknet,모아밴드네트웍스 대전영업소 검체수거 및 영업관리 채용,(주)모아밴드네트웍스,대전 동구,,2026-05-27
40,worknet,해외 온라인 쇼핑몰 SNS 담당자,주식회사 아람벨,경기 부천시,,2026-05-23
41,wanted,UA 크리에이티브 디자이너,맑은독소프트,,,
42,wanted,[결벨테크] IT 구매 및 총무 담당자,,경기 성남시,,
43,jobkorea,[두레박스파트너스] 영업파트 영업지원 직원모집 (경기도 광주시),㈜틔움밴드디지털,광주,신입,~06/07
44,wanted,Product Manager - Omni Channel,,서울 용산구,,
45,jobkorea,2026년 (주)해온벨솔루션충북방송 제작팀 공개채용,㈜해온벨솔루션,충북 충주시,경력무관,상시
46,worknet,[일자리매칭플랫폼] 트인코드(주) 건강기능식품 생산팀 채용 (혼합공정),트인코드,충북,,2026-06-04
47,jobkorea,토목시공 기술자 모집합니다,미르핀,경북 포항시,경력5년+,~05/30
48,wanted,부동산 교육상품 / 콘텐츠 기획자,온새셋솔루션,서울 강남구,,
49,jobkorea,2026년 국가농림기상센터 연구원 채용,틔움코드소프트,서울 관악구,경력무관,상시
50,wanted,Business Growth Team (Japan Market),여울포트파트너스,서울 강서구,,
51,wanted,자동화 모듈 프로덕트 매니저,가온포트랩스,경기 용인시,,
52,jobkorea,[여울포트] CS/CX 매니저(2-5년),㈜단비루프컴퍼니,서울 서초구,경력2년+,~06/05
53,jobkorea,디지털 마케팅 기획 파트 채용 [ SNS 채널 운영/콘텐츠 기획 ],㈜슬기런솔루션,서울 서초구,경력무관,~07/05
54,wanted,[마루박스] CRM 마케터 (시니어),미르웨이시스템즈,서울 강남구,,
55,jobkorea,[노들밴드랩스] 생산관리 기획 실장,㈜노들밴드랩스,서울 서초구,경력7년+,상시
56,jobkorea,의류 브랜드 인더스트와 함께 성장 할 물류&배송팀 모집,온새팜웍스,서울 광진구,경력1년+,상시
57,worknet,[솔뫼독] 영업팀 정규직 모집 공고(팀원),(주)누리릭스웍스,서울 구로구,,2026-06-24
58,wanted,[달빛루프컴퍼니] 대출 사업 리드,벼리셀소프트,서울 마포구,,
59,wanted,AI Project Manager - Cloud,라온팜파트너스,,,
60,worknet,[프리미엄 디저트 카페 프랜차이즈 기업] 글로벌기획 담당  경력인재 채용,다온핀,서울 중구,,2026-06-15
61,jobkorea,하루필름 운영관리팀 직원 모집,㈜결런시스템즈,서울 서초구,신입,상시
62,worknet,[슬기박스컴퍼니] PO(Product Owner),살랑빔,서울 강남구,,2026-07-25
63,worknet,[일자리매칭플랫폼] 소재 수입검사원 (신입가능),(주)곧은핀솔루션 ,경북 구미시,,2026-06-02
64,wanted,화장품 브랜드 컨텐츠 마케터,고운런소프트,서울 양천구,,
65,wanted,연구 과제 PM,트인팜컴퍼니,서울 강남구,,
66,wanted,[해온릭스디지털] CX팀(고객경험) CS 담당자 ( 배송 접수 및 운영),보늬코드,서울 강남구,,
67,wanted,품질관리팀 글로벌 RA,푸른벨,,,
68,worknet,[글로벌 코스메틱  브랜드]웹 디자인 팀장,(주)솔뫼폼시스템즈,서울,,2026-05-19
69,worknet,[일자리매칭플랫폼]  (주)벼리웨이앤코 조립팀 충원 모집,(주)벼리웨이앤코,경기,,2026-05-26
70,jobkorea,[맑은박스디지털] CS/CX 매니저(2-5년),㈜단비루프컴퍼니 ,서울 서초구,경력2년+,~06/14
71,wanted,상품기획 제품PM(Project Manager),너울런,서울 성동구,,
72,worknet,"기술영업(페인트, 도료, 코팅제 등) 직원 모집",마루코드테크,충남 천안시,,2026-06-20
73,worknet,"교육 콘텐츠 기획, 설계, 개발, 운영 수행",맑은셋파트너스,서울 서초구,,2026-05-22
74,wanted,[마루팜] CRM Tech-Lead(AI-Native) 8년 이상,틔움셀앤코,,,
75,worknet,[일자리매칭플랫폼] 식품향료 생산부 채용,단비노드앤코,경기 성남시,,2026-05-21
76,wanted,브랜드 그로스 담당 (Brand Growth),새암코드웍스,서울 서초구,,
77,jobkorea,"(더블와이짐 행당점)외부 홍보 x, 주거 반독점 상권 트레이너 선생님 구인",슬기박스디지털,서울 성동구,경력무관,상시
78,jobkorea,[다온코드파트너스] 냉동시스템/HVAC Technical Support Engineer,여울폼파트너스,서울 중구,경력5년+,~07/03
